latitude,longitude,fire_intensity,frp
-14.876379643457913,-65.67142703578317,0.23358238496218436,11.679119248109219
-13.147857080770251,-64.15897397184055,0.5551886133069682,27.75943066534841
-13.804018174565785,-64.96411004730918,0.6065124149754494,30.32562074877247
-14.20402454740889,-64.47857327208824,0.14348046526929162,7.174023263464581
-15.53194407867269,-63.48108381518477,0.48843173482006014,24.421586741003008
-15.532016438991391,-65.12676942712781,0.45880042986834013,22.940021493417007
-15.825749163495402,-64.72404269241093,0.324692876431175,16.234643821558752
-13.401471562675194,-63.86112215364238,0.22453691704495995,11.226845852247997
-14.196654964770374,-65.17800458627094,0.6355838737720279,31.779193688601392
-13.875782266611864,-65.55755022542802,0.15151404578090366,7.575702289045183
-15.938246517112592,-65.02562136771559,0.257987285542402,12.899364277120101
-13.090270443514017,-65.34694678186499,0.4802039755971562,24.01019877985781
-13.502672077598735,-63.425755869143565,0.47492656875807726,23.746328437903863
-15.362982667965172,-63.72969905108896,0.6391433783830215,31.957168919151073
-15.454525098378697,-64.16649060872395,0.20753864916139775,10.376932458069888
-15.4497864704397,-63.571348524530706,0.5918839233803184,29.59419616901592
-15.087273271121386,-63.74081980775222,0.4219542448270688,21.097712241353438
-14.425730705103287,-65.28357485278491,0.4025995573497745,20.129977867488723
-14.704164944073653,-63.51860250377506,0.34768973897114863,17.38448694855743
-15.126312579405875,-64.40164439521088,0.625135189561761,31.256759478088046
-14.164441315832862,-63.731399612089845,0.1394182794470908,6.9709139723545395
-15.581518418043874,-63.50977175019127,0.10525145916987037,5.262572958493519
-15.123566054394345,-64.95499131257034,0.6784849264159828,33.92424632079914
-14.900914470118925,-65.47487018868081,0.4968065854222729,24.840329271113646
-14.631790047348892,-65.18016209364515,0.6404896552902578,32.02448276451289
-13.64447211582096,-64.68223052843436,0.5499458896171707,27.497294480858535
-15.400978653524922,-63.70496308519377,0.2984813160623719,14.924065803118594
-14.457296684759164,-63.59817354185914,0.6085351045435589,30.426755227177942
-14.222756293413873,-65.73261967367202,0.46715800479676517,23.35790023983826
-15.860648761840007,-64.47313174355608,0.286661796356397,14.33308981781985
-14.177365444295685,-64.70647249212806,0.3891096460916013,19.455482304580066
-15.488427628938126,-65.19473047382317,0.2082526245647107,10.412631228235535
-15.804845221044161,-65.4503365816658,0.9653686477138645,48.26843238569323
-13.15334338824,-64.90596207149093,0.0949723681550989,4.748618407754945
-13.103103900776322,-63.3927257402187,0.0674668842496545,3.3733442124827246
-13.574807955650616,-64.9419926699481,0.23345851531736267,11.672925765868133
-15.086158692479888,-64.45302344564159,0.45653567190157596,22.826783595078798
-15.706983657980848,-63.99245260276206,0.16441058869051947,8.220529434525973
